Cities,Latitude,Temp,Humidity,Windspeed,Cloudiness
batemans bay,-35.72,71.01,84,1.01,28
hilo,19.73,75.0,99,7.56,95
bluff,-46.6,50.0,91,1.01,88
jamestown,42.1,35.01,92,6.93,1
tiksi,71.69,-18.78,89,5.37,55
coahuayana,18.73,71.6,56,6.93,20
punta arenas,-53.15,50.0,76,10.29,100
ponta do sol,32.67,68.0,64,19.46,20
fortuna,40.6,48.2,93,5.82,90
butaritari,3.07,83.14,80,17.83,100
kankakee,41.15,36.0,100,6.93,90
atuona,-9.8,81.36,78,18.32,0
ostrovnoy,68.05,13.8,99,6.8,87
talnakh,69.49,6.8,84,31.32,75
tilichiki,60.47,31.44,97,29.68,100
iqaluit,63.75,-14.01,62,10.29,40
agdas,40.65,51.8,39,5.82,0
ushuaia,-54.8,44.6,87,4.7,90
tuktoyaktuk,69.45,-13.49,81,10.25,0
norman wells,65.28,-34.6,73,4.23,5
wanning,18.8,69.46,79,7.11,41
puerto ayora,-0.74,77.0,88,13.87,90
albany,42.6,36.0,86,5.82,90
ribeira grande,38.52,59.0,62,20.8,40
saskylakh,71.92,-16.15,94,13.06,0
hermanus,-34.42,70.39,92,18.92,30
birao,10.28,92.37,10,12.8,0
denpasar,-8.65,84.2,83,2.24,20
eureka,40.8,48.2,66,13.87,75
bethel,41.37,39.0,93,3.36,90
freeport,40.66,42.01,86,3.36,1
arkhangelsk,64.54,32.0,89,11.18,90
lubbock,33.6,39.99,63,9.17,20
mizdah,31.45,52.25,57,14.14,45
arraial do cabo,-22.97,78.8,69,4.7,75
port alfred,-33.59,75.99,86,5.99,75
torbay,47.67,17.01,72,13.87,40
hochstadt,49.25,52.0,53,10.29,100
ascension,30.22,70.0,100,4.59,90
kavieng,-2.57,83.53,79,22.53,100
teya,60.38,10.15,88,10.29,100
dalby,-27.18,75.0,69,13.87,11
saint-philippe,-21.36,86.0,70,6.93,35
vaini,-21.2,78.8,88,4.7,20
carnarvon,-24.87,76.08,88,8.37,70
kutum,14.2,80.04,11,14.27,0
astoria,46.19,37.99,67,12.75,90
victoria,22.29,70.0,46,11.41,17
maneadero,31.72,48.92,88,5.46,16
mataura,-46.19,50.0,91,1.01,97
ballina,-28.87,71.6,83,1.12,90
klaksvik,62.23,41.0,80,24.16,100
aswan,24.09,78.8,24,10.29,4
kapaa,22.08,75.2,83,18.34,40
hobart,-42.88,66.2,77,11.41,90
busselton,-33.65,70.0,36,19.55,0
westport,41.14,41.0,93,6.46,1
necochea,-38.55,73.0,87,11.01,54
spodnja idrija,46.03,48.99,49,8.05,20
la tuque,47.43,-5.66,100,0.43,74
cavalcante,-13.8,74.53,67,3.4,54
coquimbo,-29.95,60.8,82,3.36,90
rikitea,-23.12,77.5,80,10.56,0
east london,-33.02,80.6,78,19.46,75
longyearbyen,78.22,-2.2,84,4.7,20
kongsberg,59.67,43.0,75,3.36,40
barrow,71.29,14.0,85,25.28,90
dongsheng,39.82,5.5,81,2.44,15
malanje,-9.54,78.8,83,9.17,75
vanavara,60.34,-4.95,100,4.38,93
romitan,39.93,35.6,64,4.7,40
new norfolk,-42.78,66.2,77,11.41,90
alencon,48.43,51.8,81,16.11,90
bajil,15.06,75.45,56,5.97,60
sur,22.57,71.92,40,1.16,5
bilibino,68.05,-23.26,78,4.27,0
severo-kurilsk,50.68,18.1,84,28.19,92
campbell river,50.02,23.0,67,12.75,90
bairiki,1.33,82.4,83,5.82,75
lincoln,40.8,26.6,79,10.29,1
nalbari,26.45,68.0,77,1.1,20
tucuman,-26.82,80.6,74,16.11,49
okha,53.57,-7.71,92,11.12,0
chico,39.73,48.2,81,12.75,40
progreso,21.28,73.99,94,5.82,90
deputatskiy,69.3,-26.95,65,2.73,23
broken hill,-31.95,93.2,23,8.05,26
dikson,73.51,6.01,95,10.78,100
bom jesus,-9.07,80.46,70,5.19,59
estacion coahuila,32.19,42.8,60,3.36,1
lenger,42.18,28.4,79,2.24,90
iringa,-7.77,75.2,78,12.75,75
lebu,-37.62,58.01,73,6.4,22
tazovskiy,67.47,-8.91,96,13.47,92
indianola,41.36,32.0,87,9.17,1
mahebourg,-20.41,84.2,79,9.17,75
bulgan,48.81,1.0,81,3.98,99
bengkulu,-3.8,76.91,85,0.22,90
burns lake,54.23,-28.41,99,1.7,47
shubarshi,48.59,25.74,92,15.08,98
tonota,-21.48,84.2,51,18.34,40
hornepayne,49.21,12.29,94,5.82,98
la asuncion,11.03,75.45,81,8.7,7
plettenberg bay,-34.05,74.48,82,8.14,64
fairbanks,64.84,1.99,84,1.19,90
minas,-34.38,75.2,64,14.99,75
makokou,0.57,91.49,40,0.87,17
saint george,37.1,34.0,86,2.3,1
port lincoln,-34.73,64.65,85,15.1,1
lishui,28.46,39.13,89,2.64,47
caravelas,-17.71,77.65,82,7.94,100
viedma,-40.81,81.54,43,15.64,1
san quintin,30.48,54.5,86,9.13,79
asosa,10.07,93.45,12,6.73,0
port elizabeth,-33.92,78.8,78,18.34,20
kodiak,57.79,33.8,55,8.05,90
ballinrobe,53.63,44.01,93,8.05,90
luderitz,-26.65,80.6,47,21.92,0
buriti,-22.93,79.0,88,4.7,90
jacksonville,30.33,64.0,100,3.58,90
kibala,9.11,95.0,11,6.93,0
haines junction,60.75,-20.7,80,4.63,0
huainan,32.63,36.75,65,6.11,34
bredasdorp,-34.53,82.4,58,11.41,32
el alto,-4.27,70.66,75,6.55,58
cayenne,4.93,78.8,88,3.36,57
barahona,18.21,73.4,78,6.93,20
yukamenskoye,57.89,17.53,96,8.5,99
stornoway,58.21,39.2,80,23.04,40
kansk,56.2,11.71,90,7.05,65
nikolskoye,59.7,37.99,74,11.18,90
nishihara,26.18,66.2,82,11.41,75
bacolod,10.67,75.38,82,7.29,0
bethanien,-26.5,97.2,11,5.39,0
mani,4.82,74.61,60,3.65,47
salina cruz,16.17,79.59,74,40.09,0
mar del plata,-38.0,79.0,94,9.17,90
lata,40.16,60.01,67,16.11,20
ocana,8.24,74.61,62,4.21,3
naze,28.37,60.8,82,17.22,75
vostok,46.49,-9.15,98,3.58,95
richards bay,-28.78,81.5,68,10.25,0
yellowknife,62.46,-32.01,66,5.82,75
manama,26.22,68.0,52,24.16,20
grand-santi,4.25,75.81,93,3.51,75
xuddur,4.12,90.01,36,19.15,63
kaitangata,-46.28,55.0,84,5.01,100
vilhena,-12.74,77.0,88,5.82,35
te anau,-45.42,47.41,78,1.12,81
caraquet,47.79,17.01,85,4.7,90
melnikovo,56.56,18.0,88,14.2,100
thompson,55.74,-18.4,75,5.82,75
coihaique,-45.58,59.0,54,10.29,40
fare,-16.7,80.92,81,16.17,47
qaanaaq,77.48,-7.24,38,3.69,84
pevek,69.7,-17.54,89,8.93,48
kazachinskoye,57.7,12.63,92,7.61,100
khatanga,71.97,-19.21,88,7.58,58
dubbo,-32.25,82.4,42,23.04,53
padang,-0.95,70.84,97,1.83,100
inirida,3.87,73.0,78,1.48,49
peleduy,59.63,3.56,95,7.85,100
svetlaya,46.54,12.69,68,7.85,0
swan hill,-35.34,82.99,60,1.01,4
hofn,64.25,39.83,83,46.06,100
upernavik,72.79,0.81,71,2.75,100
raudeberg,61.99,44.6,70,23.04,40
nome,64.5,17.01,78,4.7,20
mangrol,21.12,69.64,64,14.56,3
yarensk,62.17,24.21,95,7.7,95
tautira,-17.73,77.0,83,5.82,75
kruisfontein,-34.0,87.67,48,16.35,49
kapit,2.02,73.92,97,2.17,100
hervey bay,-25.3,77.0,83,9.17,40
baymak,52.59,17.78,89,10.36,39
esperance,-33.87,66.2,88,12.75,90
la ronge,55.1,-16.6,68,8.05,90
smithers,54.78,-23.8,74,3.36,1
ambon,-3.7,80.6,88,8.05,20
chokurdakh,70.63,-18.4,97,1.95,98
pisco,-13.7,71.6,30,3.51,75
cape town,-33.93,90.0,65,20.8,36
constantine,36.37,50.0,66,6.93,20
kokuy,52.2,-11.27,98,1.63,100
gandu,-13.74,80.85,58,3.2,42
angoche,-16.23,84.06,77,1.81,96
hailar,49.2,-14.55,92,3.85,0
bosaso,11.28,77.0,69,19.46,0
makakilo city,21.35,77.0,78,11.41,90
bunia,1.57,82.76,44,5.44,0
kudahuvadhoo,2.67,80.91,74,13.8,14
kandrian,-6.22,75.6,94,11.72,100
inuvik,68.35,-13.0,75,5.82,5
beloha,-25.17,95.85,31,4.07,46
roebourne,-20.78,86.16,68,10.87,68
omboue,-1.57,90.77,58,3.42,36
gat,31.61,66.2,45,6.93,40
xingyi,24.19,53.22,81,5.46,0
bambous virieux,-20.34,84.2,79,9.17,75
avarua,-21.21,77.0,88,13.87,96
airai,-8.93,69.35,95,0.29,100
osoyoos,49.03,6.8,60,11.41,90
cabo san lucas,22.89,59.0,72,1.01,96
dunedin,-45.87,55.0,85,5.99,81
san cristobal,7.77,73.4,83,4.27,75
kamuli,0.95,89.6,20,7.07,89
katsuura,35.13,51.8,66,2.24,75
ilulissat,69.22,5.0,60,13.87,75
bathsheba,13.22,80.6,65,25.28,40
ponta delgada,37.73,60.8,67,14.99,40
butembo,0.15,81.84,41,3.83,5
kodinsk,58.69,5.79,97,4.94,88
nanortalik,60.14,20.05,63,9.26,52
bar-le-duc,48.75,57.2,58,12.75,75
muisne,0.6,77.0,94,8.05,90
baruun-urt,46.68,-0.54,89,9.84,23
ndele,8.41,102.07,7,3.15,0
galle,6.04,79.61,62,6.98,68
nouadhibou,20.93,68.0,40,12.75,96
semnan,35.57,44.01,39,5.64,5
xacmaz,41.46,43.52,62,0.76,0
dingle,11.0,74.57,85,7.94,10
sun prairie,43.18,35.01,96,9.08,90
mirnyy,62.54,-13.0,83,4.47,100
mucurapo,10.67,82.0,78,7.67,40
lorengau,-2.02,83.8,76,23.17,100
kenai,60.55,8.6,84,4.7,90
tiarei,-17.53,77.0,83,5.82,75
hamilton,39.18,46.99,93,3.36,90
markova,48.68,48.2,49,6.71,42
hambantota,6.12,80.6,83,3.36,40
beringovskiy,63.05,27.68,87,12.19,99
arcata,40.87,48.2,66,13.87,75
polunochnoye,60.87,7.57,93,5.53,96
kahului,20.89,73.4,73,3.36,1
patacamaya,-17.23,44.44,83,4.34,97
el fuerte,26.42,60.51,25,6.02,74
almaznyy,48.04,37.4,86,6.71,75
jyvaskyla,62.23,35.6,80,13.87,75
zhigansk,66.77,-14.26,95,13.44,100
zabol,32.25,17.17,87,4.14,96
prieska,-29.66,98.29,14,6.89,0
oga,46.46,34.0,50,8.05,81
sorland,67.67,39.2,72,19.46,75
kaura namoda,12.59,90.5,11,12.03,14
zlatograd,41.38,54.0,66,5.82,20
alyangula,-13.85,80.6,83,9.26,56
porto santo,33.07,68.0,77,11.41,40
hanko,59.83,39.99,87,20.0,98
ulaanbaatar,47.91,-14.8,75,0.49,44
pundaguitan,6.37,81.7,81,9.35,41
vieste,41.88,53.6,58,10.29,20
faanui,-16.48,80.94,81,16.35,83
boyolangu,-8.12,77.61,86,3.22,100
port-gentil,-0.72,89.6,70,11.41,40
adrar,20.5,63.5,20,18.57,12
atar,20.52,69.21,14,16.46,52
sawtell,-30.38,71.6,83,3.36,90
aklavik,68.22,-13.0,75,5.82,5
mount gambier,-37.83,60.8,93,5.82,40
tigil,57.8,25.97,97,4.97,100
mutis,6.23,80.33,77,6.96,46
salamiyah,35.01,56.64,46,3.53,0
sayyan,15.17,69.19,19,15.32,0
lasa,46.62,44.6,55,4.7,5
hithadhoo,-0.6,81.7,81,14.14,60
penzance,50.12,55.4,100,34.45,75
de aar,-30.65,89.6,21,3.13,11
isabela,6.71,80.6,83,1.12,75
poyarkovo,49.6,-3.84,91,4.61,1
soe,-9.86,76.98,86,3.87,100
lagoa vermelha,-28.21,69.78,63,9.28,100
solnechnyy,50.72,-8.5,90,2.1,39
tuatapere,-46.13,50.0,91,1.01,85
lavumisa,-27.31,91.4,49,6.93,30
san patricio,19.22,78.26,72,8.77,100
cherskiy,68.75,-25.42,76,1.95,0
pemangkat,1.17,79.23,85,8.77,83
iracoubo,5.48,79.93,80,19.6,49
emet,39.34,40.69,70,2.86,0
chabahar,25.29,66.49,36,5.01,0
tasiilaq,65.61,19.4,57,3.36,40
thinadhoo,0.53,80.94,80,15.14,2
tolga,34.72,60.8,44,8.05,0
pandan,14.05,80.62,81,18.77,53
santa cruz del sur,20.71,76.71,77,30.09,0
belle glade,26.68,77.0,83,10.29,40
christchurch,-43.53,53.01,76,4.9,0
tarko-sale,64.92,5.0,84,13.87,99
prince albert,53.2,-16.6,68,11.41,20
isla aguada,18.78,75.2,88,9.17,5
provideniya,64.38,19.6,97,5.79,65
chuy,-33.7,74.03,67,10.8,16
umm lajj,25.02,76.41,15,8.72,0
waipawa,-41.41,53.6,76,4.7,22
inhambane,-23.86,87.8,62,6.93,40
maniitsoq,65.42,8.71,77,14.36,29
banda aceh,5.56,77.31,80,7.11,30
lucapa,-8.42,78.37,83,7.31,94
lompoc,34.64,45.0,80,13.42,1
bowen,-20.02,78.01,88,3.36,40
maunabo,18.01,78.01,73,18.34,20
salalah,17.02,77.0,14,19.46,0
santiago do cacem,38.02,59.0,87,14.99,40
stokmarknes,68.56,37.99,72,4.0,100
tunggol,5.84,75.81,94,3.04,58
cidreira,-30.18,74.75,81,20.47,40
dawlatabad,36.41,35.69,74,6.87,100
bandarbeyla,9.49,75.36,73,21.92,1
georgetown,5.41,87.8,70,2.24,20
sompeta,18.93,67.84,69,3.2,7
itamarandiba,-17.86,75.88,71,3.98,55
puerto parra,6.65,77.0,83,2.24,20
havre-saint-pierre,50.23,-4.0,64,4.7,1
touros,-5.2,84.2,66,9.17,75
namie,37.48,42.01,74,9.86,100
arys,42.43,28.4,79,2.24,90
road town,18.42,77.0,88,19.46,75
itarema,-2.92,83.7,72,5.48,12
gandhinagar,23.22,71.6,40,4.7,0
rudnogorsk,57.26,2.95,97,3.89,100
baturaja,-4.13,74.89,96,3.49,61
nohar,29.18,62.06,41,4.29,0
phan thiet,10.93,70.09,81,5.57,0
kiama,-34.68,69.01,88,3.36,0
rio grande,-32.03,82.4,61,12.75,75
pouebo,-20.4,74.61,82,4.94,63
yar-sale,66.83,-13.67,83,7.16,0
lobito,-12.35,86.0,66,9.17,40
anage,-14.61,82.89,53,2.8,0
labuan,5.28,82.4,83,5.82,75
jiazi,22.88,59.07,77,8.12,0
bubaque,11.28,76.28,50,12.19,0
mahanoro,-19.9,82.87,69,8.86,10
korbach,51.28,51.01,66,16.11,75
mashhad,36.3,28.4,92,6.93,76
myitkyina,25.38,63.01,67,1.34,0
auki,-8.77,85.23,79,25.9,100
srednekolymsk,67.45,-30.21,93,1.77,9
leningradskiy,69.38,-11.7,75,3.65,66
lixourion,38.2,61.0,72,5.77,20
neringa,55.37,42.8,80,20.8,75
darhan,49.49,-4.99,85,3.4,61
sinnamary,5.38,79.93,80,19.6,49
oranjemund,-28.55,76.84,56,18.12,9
kosh-agach,50.0,-5.06,89,1.9,0
hasaki,35.73,44.6,87,3.36,75
szentlorinc,46.04,28.4,100,4.7,90
avadi,13.12,79.0,61,8.05,20
callaguip,18.07,77.0,73,10.29,20
udachnyy,66.42,-9.4,76,4.47,75
dharchula,29.85,33.06,89,2.42,86
lavrentiya,65.58,8.62,77,8.48,0
souillac,-20.52,84.2,79,9.17,75
dwarka,22.24,69.48,59,12.55,1
margate,51.38,53.01,93,18.34,75
powell river,49.85,27.0,67,12.75,90
zomin,39.96,32.92,67,3.91,84
clyde river,70.47,-16.6,82,9.17,90
tabuk,17.42,69.28,92,10.02,44
goderich,43.75,32.0,94,1.99,87
khandyga,62.67,-23.75,99,0.47,98
vieux-habitants,16.06,73.4,88,11.41,0
asau,46.43,41.0,65,4.7,70
tuy hoa,13.08,75.24,75,15.01,0
becerril,9.7,74.34,67,4.21,12
munster,51.96,52.0,93,14.99,75
rio tuba,8.51,81.1,77,10.02,0
hami,42.8,21.22,56,2.01,100
altay,47.87,5.72,89,3.04,96
fengrun,39.83,22.03,36,2.33,7
desaguadero,-16.57,48.63,68,10.49,86
alta floresta,-9.88,78.8,88,2.24,40
big rapids,43.7,33.01,95,5.82,90
mitu,1.2,73.13,90,1.63,57
boksitogorsk,59.47,35.01,82,5.01,75
pangkalanbuun,-2.68,76.75,94,2.66,63
athabasca,54.72,-31.29,98,6.24,74
sumenep,-7.02,81.23,81,9.8,41
nemuro,43.32,28.04,63,5.7,0
guarulhos,-23.46,79.0,88,9.17,75
hirara,24.8,70.02,63,12.8,27
harper,4.38,95.02,43,1.79,1
filadelfia,39.95,41.0,93,5.32,90
jalu,29.03,58.21,58,12.12,98
sitka,57.05,15.8,52,8.05,1
juneau,58.3,19.4,36,4.7,1
namibe,-15.2,84.2,54,11.41,75
narsaq,60.92,10.4,60,4.7,75
turbat,26.0,63.72,24,8.28,0
ancud,-41.87,55.4,76,11.41,75
grinnell,41.74,33.01,95,9.17,75
vila franca do campo,37.72,60.8,67,14.99,40
taltal,-25.4,63.27,72,3.33,89
nsanje,-16.92,79.14,91,3.0,100
saint-joseph,-21.37,86.0,70,6.93,18
itoman,26.12,64.4,77,16.11,90
astara,38.5,50.0,85,4.7,0
sidi ali,36.1,56.91,32,4.27,65
oriximina,-1.77,79.14,77,1.03,31
sunnyside,46.32,21.0,85,6.93,90
grafton,42.21,36.0,86,5.82,90
salym,60.06,19.22,95,5.86,96
rawlins,41.79,30.2,58,24.16,90
waingapu,-9.66,82.62,75,3.44,100
mildura,-34.2,87.8,23,3.36,86
niksic,42.77,57.2,54,4.7,75
najran,17.49,80.6,13,11.41,0
guerrero negro,27.98,55.99,87,6.06,79
college,64.86,1.99,84,1.7,90
boromo,11.75,87.42,9,9.86,0
sydney mines,46.24,23.0,79,5.82,75
alofi,-19.06,75.2,100,10.29,100
goroka,-6.08,60.28,99,2.1,100
ugoofaaru,5.67,81.68,66,9.86,58
sao jose da coroa grande,-8.9,80.91,67,8.19,27
hobyo,5.35,82.44,61,23.13,87
neiafu,-18.65,75.2,94,11.52,75
isangel,-19.55,78.8,88,18.79,75
mabai,23.01,55.26,98,4.5,76
tete,-16.16,83.41,70,3.42,95
puerto escondido,15.85,69.8,100,8.05,5
korla,41.76,33.01,90,5.01,100
tual,-5.67,82.62,81,9.53,47
mandiana,10.63,88.47,12,5.77,0
praia da vitoria,38.73,55.4,87,21.65,40
sangar,63.92,-23.96,94,4.32,99
comodoro rivadavia,-45.87,66.2,45,32.21,33
maceio,-9.67,86.0,55,10.29,75
namatanai,-3.67,82.89,77,13.11,100
djibo,14.1,80.53,8,13.2,0
agarak,39.21,40.12,37,5.7,0
san antonio,29.42,62.6,100,2.13,90
natchez,31.56,69.8,94,6.93,90
poronaysk,49.22,0.9,79,7.34,0
santa maria,-29.68,77.0,78,8.05,48
gazojak,41.19,38.03,49,7.7,28
baykit,61.67,-5.46,98,3.22,98
xining,36.62,20.84,72,1.97,78
kohima,25.67,46.56,95,1.14,2
sabang,5.89,81.99,77,19.08,1
paamiut,61.99,14.05,51,21.52,1
castro,-24.79,67.6,63,4.76,99
bobo dioulasso,11.18,82.4,24,9.17,0
san jeronimo,-11.95,41.76,84,2.64,82
luoyang,34.68,34.36,59,8.75,12
nelson bay,-32.72,72.0,88,5.82,90
conceicao da barra,-18.59,78.64,79,6.44,87
carolina,18.38,78.01,83,9.17,40
atambua,-9.11,77.63,88,0.78,100
tolaga bay,-38.37,60.06,71,17.78,97
bombay,19.01,84.99,54,8.05,38
naryan-mar,67.67,14.68,93,17.09,100
guanare,9.04,72.9,73,2.73,32
laguna de perlas,12.34,78.8,88,13.87,75
fort nelson,58.81,-38.2,72,0.78,75
codrington,-38.27,67.51,75,8.52,0
zemio,5.03,100.04,13,3.96,25
wewak,-3.55,78.57,82,15.55,99
hirtshals,57.59,46.99,81,19.46,75
nioro,13.35,87.87,10,11.5,0
fairlie,55.76,43.0,80,16.11,40
